Feature;Importance_MSE_Drop
mWIG40_Low_Ret;-0,0001870279578839902
spx_Wolumen;-0,0001573947725315543
mWIG40_Ret;-0,00014637752458918768
mwig40_Zamkniecie;-0,0001100353460168485
USDPLN_Ret;-5,03883663222765e-06
mwig40_Wolumen;7,886351009317449e-07
EURPLN_Ret;2,383296683415928e-05
RSI_14;3,952557324575501e-05
mWIG40_High_Ret;4,105659383402474e-05
NKX_Ret;6,881118308721748e-05
Volatility_20;0,0001108432471212846
mWIG40_Open_Ret;0,00019260847922155516
Bollinger_PB;0,000272278167124447
SPX_Ret;0,0009205114860067233
