--- ^nkx_d.csv ---

Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2000-04-21;19050.68;19269.06;18091.1;18252.68;
2000-04-24;18247.48;18987.34;18247.48;18480.15;
2000-05-01;17979.25;18403.08;17979.25;18403.08;
2000-05-02;18497.52;18586.16;18428.92;18439.36;
2000-06-22;17228.85;17364.26;17092.44;17106.01;
2000-08-15;16181.5;16309.5;16131.48;16298.29;
2000-11-01;14557.45;14888.03;14557.45;14872.39;
2000-12-25;13597.57;13931.61;13597.57;13931.61;
2000-12-26;13878.52;14019.73;13794.43;14007.85;
2001-04-13;13454.87;13578.64;13291.2;13385.72;
2001-04-16;13338.92;13451.02;13217.64;13254.89;
2001-05-01;14096.32;14425.46;14096.32;14425.46;
2001-06-14;12826.18;12935.07;12804.03;12846.66;
2001-08-15;11812.0;11823.92;11648.86;11755.4;
2001-11-01;10430.59;10498.39;10318.17;10347.28;
2001-12-25;10359.22;10359.22;10178.87;10254.81;
2001-12-26;10273.05;10300.63;10170.9;10192.57;
2002-03-29;11350.35;11389.6;11024.94;11024.94;
2002-04-01;11106.07;11148.5;11007.63;11028.7;
2002-05-01;11540.09;11591.49;11528.29;11552.79;
2002-05-30;11804.46;11812.59;11680.58;11770.03;
2002-08-15;9740.2;9851.68;9740.2;9795.57;404492416.0
2002-11-01;8651.67;8698.19;8571.43;8685.72;416409216.0
2002-11-11;8619.74;8619.74;8430.5;8460.37;459883584.0
2002-12-24;8434.26;8556.58;8389.49;8512.37;510317792.0
2002-12-25;8502.11;8527.73;8455.63;8501.14;328678016.0
2002-12-26;8575.58;8706.48;8572.72;8700.1;292922400.0
2003-04-18;7866.07;7899.35;7863.92;7874.51;476000000.0
2003-04-21;7889.42;7996.54;7852.95;7969.08;494000000.0
2003-05-01;7804.03;7896.16;7745.69;7863.29;558000000.0
2003-06-19;9118.18;9140.76;9001.95;9110.51;696000000.0
2003-08-15;9945.3;10038.09;9854.27;9863.47;954650944.0
2003-11-11;10407.8;10407.8;10112.1;10207.04;905506560.0
2003-12-24;10397.86;10400.25;10326.17;10371.27;548935168.0
2003-12-25;10347.75;10367.68;10311.6;10365.35;447400032.0
2003-12-26;10367.13;10417.41;10336.08;10417.41;553832896.0
2004-04-09;12012.63;12012.63;11862.34;11897.51;1052183424.0
2004-04-12;11926.48;12085.07;11926.48;12042.7;838557120.0
2004-06-10;11378.45;11624.71;11367.4;11575.97;813201984.0
2004-11-01;10731.02;10735.19;10690.95;10734.71;598716928.0
