Data,PMI
2000-01-03,51.1
2000-01-04,51.1
2000-01-05,51.1
2000-01-06,51.1
2000-01-07,51.1
2000-01-10,51.1
2000-01-11,51.1
2000-01-12,51.1
2000-01-13,51.1
2000-01-14,51.1
2000-01-17,51.1
2000-01-18,51.1
2000-01-19,51.1
2000-01-20,51.1
2000-01-21,51.1
2000-01-24,51.1
2000-01-25,51.1
2000-01-26,51.1
2000-01-27,51.1
2000-01-28,51.1
2000-01-31,51.1
2000-02-01,52.5
2000-02-02,52.5
2000-02-03,52.5
2000-02-04,52.5
2000-02-07,52.5
2000-02-08,52.5
2000-02-09,52.5
2000-02-10,52.5
2000-02-11,52.5
2000-02-14,52.5
2000-02-15,52.5
2000-02-16,52.5
2000-02-17,52.5
2000-02-18,52.5
2000-02-21,52.5
2000-02-22,52.5
2000-02-23,52.5
2000-02-24,52.5
2000-02-25,52.5
2000-02-28,52.5
2000-02-29,52.5
2000-03-01,51.0
2000-03-02,51.0
2000-03-03,51.0
2000-03-06,51.0
2000-03-07,51.0
2000-03-08,51.0
2000-03-09,51.0
2000-03-10,51.0
2000-03-13,51.0
2000-03-14,51.0
2000-03-15,51.0
2000-03-16,51.0
2000-03-17,51.0
2000-03-20,51.0
2000-03-21,51.0
2000-03-22,51.0
2000-03-23,51.0
2000-03-24,51.0
2000-03-27,51.0
2000-03-28,51.0
2000-03-29,51.0
2000-03-30,51.0
2000-03-31,51.0
2000-04-03,50.3
2000-04-04,50.3
2000-04-05,50.3
2000-04-06,50.3
2000-04-07,50.3
2000-04-10,50.3
2000-04-11,50.3
2000-04-12,50.3
2000-04-13,50.3
2000-04-14,50.3
2000-04-17,50.3
2000-04-18,50.3
2000-04-19,50.3
2000-04-20,50.3
2000-04-25,50.3
2000-04-26,50.3
2000-04-27,50.3
2000-04-28,50.3
2000-05-04,50.3
2000-05-05,50.3
2000-05-08,50.3
2000-05-09,50.3
2000-05-10,50.3
2000-05-11,50.3
2000-05-12,50.3
2000-05-15,50.3
2000-05-16,50.3
2000-05-17,50.3
2000-05-18,50.3
2000-05-19,50.3
2000-05-22,50.3
2000-05-23,50.3
2000-05-24,50.3
2000-05-25,50.3
2000-05-26,50.3
2000-05-29,50.3
2000-05-30,50.3
2000-05-31,50.3
2000-06-01,51.6
2000-06-02,51.6
2000-06-05,51.6
2000-06-06,51.6
2000-06-07,51.6
2000-06-08,51.6
2000-06-09,51.6
2000-06-12,51.6
2000-06-13,51.6
2000-06-14,51.6
2000-06-15,51.6
2000-06-16,51.6
2000-06-19,51.6
2000-06-20,51.6
2000-06-21,51.6
2000-06-23,51.6
2000-06-26,51.6
2000-06-27,51.6
2000-06-28,51.6
2000-06-29,51.6
2000-06-30,51.6
2000-07-03,50.2
2000-07-04,50.2
2000-07-05,50.2
2000-07-06,50.2
2000-07-07,50.2
2000-07-10,50.2
2000-07-11,50.2
2000-07-12,50.2
2000-07-13,50.2
2000-07-14,50.2
2000-07-17,50.2
2000-07-18,50.2
2000-07-19,50.2
2000-07-20,50.2
2000-07-21,50.2
2000-07-24,50.2
2000-07-25,50.2
2000-07-26,50.2
2000-07-27,50.2
2000-07-28,50.2
2000-07-31,50.2
2000-08-01,49.9
2000-08-02,49.9
2000-08-03,49.9
2000-08-04,49.9
2000-08-07,49.9
2000-08-08,49.9
2000-08-09,49.9
2000-08-10,49.9
2000-08-11,49.9
2000-08-14,49.9
2000-08-16,49.9
2000-08-17,49.9
2000-08-18,49.9
2000-08-21,49.9
2000-08-22,49.9
2000-08-23,49.9
2000-08-24,49.9
2000-08-25,49.9
2000-08-28,49.9
2000-08-29,49.9
2000-08-30,49.9
2000-08-31,49.9
2000-09-01,48.3
2000-09-04,48.3
2000-09-05,48.3
2000-09-06,48.3
2000-09-07,48.3
2000-09-08,48.3
2000-09-11,48.3
2000-09-12,48.3
2000-09-13,48.3
2000-09-14,48.3
2000-09-15,48.3
2000-09-18,48.3
2000-09-19,48.3
2000-09-20,48.3
2000-09-21,48.3
2000-09-22,48.3
2000-09-25,48.3
2000-09-26,48.3
2000-09-27,48.3
2000-09-28,48.3
2000-09-29,48.3
