Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2000-01-31,51.1,51.1,51.1,51.1
2000-02-29,52.5,52.5,52.5,52.5
2000-03-31,51,51,51,51
2000-04-28,50.3,50.3,50.3,50.3
2000-05-31,50.3,50.3,50.3,50.3
2000-06-30,51.6,51.6,51.6,51.6
2000-07-31,50.2,50.2,50.2,50.2
2000-08-31,49.9,49.9,49.9,49.9
2000-09-29,48.3,48.3,48.3,48.3
2000-10-31,47.8,47.8,47.8,47.8
2000-11-30,46.9,46.9,46.9,46.9
2000-12-29,45.7,45.7,45.7,45.7
2001-01-31,46.8,46.8,46.8,46.8
2001-02-28,45.9,45.9,45.9,45.9
2001-03-30,44.9,44.9,44.9,44.9
2001-04-30,47.1,47.1,47.1,47.1
2001-05-31,46,46,46,46
2001-06-29,44.1,44.1,44.1,44.1
2001-07-31,44.1,44.1,44.1,44.1
2001-08-31,46.1,46.1,46.1,46.1
2001-09-28,46.7,46.7,46.7,46.7
2001-10-31,44.5,44.5,44.5,44.5
2001-11-30,44.4,44.4,44.4,44.4
2001-12-31,44.8,44.8,44.8,44.8
2002-01-31,44.5,44.5,44.5,44.5
2002-02-28,45.3,45.3,45.3,45.3
2002-03-29,46.8,46.8,46.8,46.8
2002-04-30,46.6,46.6,46.6,46.6
2002-05-31,48.2,48.2,48.2,48.2
2002-06-28,48.6,48.6,48.6,48.6
2002-07-31,49.1,49.1,49.1,49.1
2002-08-30,50.1,50.1,50.1,50.1
2002-09-30,49.5,49.5,49.5,49.5
2002-10-31,48.8,48.8,48.8,48.8
2002-11-29,46.3,46.3,46.3,46.3
2002-12-31,44.7,44.7,44.7,44.7
2003-01-31,47.8,47.8,47.8,47.8
2003-02-28,48.8,48.8,48.8,48.8
2003-03-31,47.6,47.6,47.6,47.6
2003-04-30,49.5,49.5,49.5,49.5
2003-05-30,48.9,48.9,48.9,48.9
2003-06-30,49.9,49.9,49.9,49.9
2003-07-31,52.3,52.3,52.3,52.3
2003-08-29,53.1,53.1,53.1,53.1
2003-09-30,53.5,53.5,53.5,53.5
2003-10-31,53.7,53.7,53.7,53.7
2003-11-28,51.5,51.5,51.5,51.5
2003-12-31,50.7,50.7,50.7,50.7
2004-01-30,53.2,53.2,53.2,53.2
2004-02-27,54.5,54.5,54.5,54.5
2004-03-31,55.8,55.8,55.8,55.8
2004-04-30,56.9,56.9,56.9,56.9
2004-05-31,55.7,55.7,55.7,55.7
2004-06-30,53.9,53.9,53.9,53.9
2004-07-30,52.8,52.8,52.8,52.8
2004-08-31,52,52,52,52
2004-09-30,52,52,52,52
2004-10-29,51.4,51.4,51.4,51.4
2004-11-30,50.4,50.4,50.4,50.4
2004-12-31,50.3,50.3,50.3,50.3
2005-01-31,48.2,48.2,48.2,48.2
2005-02-28,47.8,47.8,47.8,47.8
2005-03-31,47.1,47.1,47.1,47.1
2005-04-29,48.7,48.7,48.7,48.7
2005-05-31,49.2,49.2,49.2,49.2
2005-06-30,50.5,50.5,50.5,50.5
2005-07-29,51.4,51.4,51.4,51.4
2005-08-31,50.8,50.8,50.8,50.8
2005-09-30,52,52,52,52
2005-10-31,52.6,52.6,52.6,52.6
2005-11-30,53.7,53.7,53.7,53.7
2005-12-30,54.6,54.6,54.6,54.6
2006-01-31,53.2,53.2,53.2,53.2
2006-02-28,52.5,52.5,52.5,52.5
2006-03-31,51.8,51.8,51.8,51.8
2006-04-28,53.8,53.8,53.8,53.8
2006-05-31,53.8,53.8,53.8,53.8
2006-06-30,55.3,55.3,55.3,55.3
2006-07-31,54.6,54.6,54.6,54.6
2006-08-31,53.6,53.6,53.6,53.6
2006-09-29,53.3,53.3,53.3,53.3
2006-10-31,55,55,55,55
2006-11-30,55.4,55.4,55.4,55.4
2006-12-29,53.3,53.3,53.3,53.3
2007-01-31,53.3,53.3,53.3,53.3
2007-02-28,52.6,52.6,52.6,52.6
2007-03-30,54.2,54.2,54.2,54.2
2007-04-30,53,53,53,53
2007-05-31,53.1,53.1,53.1,53.1
2007-06-29,54.2,54.2,54.2,54.2
2007-07-31,54.6,54.6,54.6,54.6
2007-08-31,52.5,52.5,52.5,52.5
2007-09-28,51.5,51.5,51.5,51.5
2007-10-31,51.4,51.4,51.4,51.4
2007-11-30,52,52,52,52
2007-12-31,50.7,50.7,50.7,50.7
2008-01-31,52.4,52.4,52.4,52.4
2008-02-29,53.2,53.2,53.2,53.2
2008-03-31,51.6,51.6,51.6,51.6
2008-04-30,50.1,50.1,50.1,50.1
2008-05-30,48.8,48.8,48.8,48.8
2008-06-30,47.9,47.9,47.9,47.9
2008-07-31,46.4,46.4,46.4,46.4
2008-08-29,45.8,45.8,45.8,45.8
2008-09-30,44.9,44.9,44.9,44.9
2008-10-31,43.7,43.7,43.7,43.7
2008-11-28,40.5,40.5,40.5,40.5
2008-12-31,38.3,38.3,38.3,38.3
2009-01-30,40.3,40.3,40.3,40.3
2009-02-27,40.8,40.8,40.8,40.8
2009-03-31,42.2,42.2,42.2,42.2
2009-04-30,42.1,42.1,42.1,42.1
2009-05-29,42.55,42.55,42.55,42.55
2009-06-30,43,43,43,43
2009-07-31,46.5,46.5,46.5,46.5
2009-08-31,48.2,48.2,48.2,48.2
2009-09-30,48.2,48.2,48.2,48.2
2009-10-30,48.8,48.8,48.8,48.8
2009-11-30,52.4,52.4,52.4,52.4
2009-12-31,52.4,52.4,52.4,52.4
2010-01-29,51,51,51,51
2010-02-26,52.4,52.4,52.4,52.4
2010-03-31,52.5,52.5,52.5,52.5
2010-04-30,52.5,52.5,52.5,52.5
2010-05-31,52.2,52.2,52.2,52.2
2010-06-30,53.3,53.3,53.3,53.3
2010-07-30,52.1,52.1,52.1,52.1
2010-08-31,53.8,53.8,53.8,53.8
2010-09-30,54.7,54.7,54.7,54.7
2010-10-29,55.6,55.6,55.6,55.6
2010-11-30,55.9,55.9,55.9,55.9
2010-12-31,56.3,56.3,56.3,56.3
2011-01-31,55.6,55.6,55.6,55.6
2011-02-28,53.8,53.8,53.8,53.8
2011-03-31,54.8,54.8,54.8,54.8
2011-04-29,54.4,54.4,54.4,54.4
2011-05-31,52.6,52.6,52.6,52.6
2011-06-30,51.2,51.2,51.2,51.2
2011-07-29,52.9,52.9,52.9,52.9
2011-08-31,51.8,51.8,51.8,51.8
2011-09-30,50.2,50.2,50.2,50.2
2011-10-31,51.7,51.7,51.7,51.7
2011-11-30,49.5,49.5,49.5,49.5
2011-12-30,48.8,48.8,48.8,48.8
2012-01-31,52.2,52.2,52.2,52.2
2012-02-29,50,50,50,50
2012-03-30,50.1,50.1,50.1,50.1
2012-04-30,49.2,49.2,49.2,49.2
2012-05-31,48.9,48.9,48.9,48.9
2012-06-29,48,48,48,48
2012-07-31,49.7,49.7,49.7,49.7
2012-08-31,48.3,48.3,48.3,48.3
2012-09-28,47,47,47,47
2012-10-31,47.3,47.3,47.3,47.3
2012-11-30,48.2,48.2,48.2,48.2
2012-12-31,48.5,48.5,48.5,48.5
2013-01-31,48.6,48.6,48.6,48.6
2013-02-28,48.9,48.9,48.9,48.9
2013-03-29,48,48,48,48
2013-04-30,46.9,46.9,46.9,46.9
2013-05-31,48,48,48,48
2013-06-28,49.3,49.3,49.3,49.3
2013-07-31,51.1,51.1,51.1,51.1
2013-08-30,52.6,52.6,52.6,52.6
2013-09-30,53.1,53.1,53.1,53.1
2013-10-31,53.4,53.4,53.4,53.4
2013-11-29,54.4,54.4,54.4,54.4
2013-12-31,53.2,53.2,53.2,53.2
2014-01-31,55.4,55.4,55.4,55.4
2014-02-28,55.9,55.9,55.9,55.9
2014-03-31,54,54,54,54
2014-04-30,52,52,52,52
2014-05-30,50.8,50.8,50.8,50.8
2014-06-30,50.3,50.3,50.3,50.3
2014-07-31,49.4,49.4,49.4,49.4
2014-08-29,49,49,49,49
2014-09-30,49.5,49.5,49.5,49.5
2014-10-31,51.2,51.2,51.2,51.2
2014-11-28,53.2,53.2,53.2,53.2
2014-12-31,52.8,52.8,52.8,52.8
2015-01-30,55.2,55.2,55.2,55.2
2015-02-27,55.1,55.1,55.1,55.1
2015-03-31,54.8,54.8,54.8,54.8
2015-04-30,54,54,54,54
2015-05-29,52.4,52.4,52.4,52.4
2015-06-30,54.3,54.3,54.3,54.3
2015-07-31,54.5,54.5,54.5,54.5
2015-08-31,51.1,51.1,51.1,51.1
2015-09-30,50.9,50.9,50.9,50.9
2015-10-30,52.2,52.2,52.2,52.2
2015-11-30,52.1,52.1,52.1,52.1
2015-12-31,52.1,52.1,52.1,52.1
2016-01-29,50.9,50.9,50.9,50.9
2016-02-29,52.8,52.8,52.8,52.8
2016-03-31,53.8,53.8,53.8,53.8
2016-04-29,51,51,51,51
2016-05-31,52.1,52.1,52.1,52.1
2016-06-30,51.8,51.8,51.8,51.8
2016-07-29,50.3,50.3,50.3,50.3
2016-08-31,51.5,51.5,51.5,51.5
2016-09-30,52.2,52.2,52.2,52.2
2016-10-31,50.2,50.2,50.2,50.2
